Academic Year,College/School,Division,Department,Major,Degree,Average GPA,Headcount
2009-10,Clg of Letters & Science,L&S Social Sciences Division,Economics,Economics,Bachelor of Arts,3.448913758,487
2009-10,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Pol Econ of Indust Soc,Bachelor of Arts,3.261056075,214
2009-10,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Peace & Conflict Studies,Bachelor of Arts,3.536848485,66
2009-10,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Cognitive Science,Bachelor of Arts,3.222650794,63
2009-10,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Development Studies,Bachelor of Arts,3.606489796,49
2009-10,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Latin American Studies,Bachelor of Arts,3.420478261,23
2009-10,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Asian Studies - China,Bachelor of Arts,3.307714286,14
2009-10,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Political Economy,Bachelor of Arts,3.324307692,13
2009-10,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Middle Eastern Studies,Bachelor of Arts,3.688428571,7
2009-10,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Asian Studies - Japan,Bachelor of Arts,3.4892,5
2009-10,Clg of Letters & Science,L&S Social Sciences Division,Political Science,Political Science,Bachelor of Arts,3.353752232,448
2009-10,Clg of Letters & Science,L&S Social Sciences Division,Psychology,Psychology,Bachelor of Arts,3.471808917,314
2009-10,Clg of Letters & Science,L&S Social Sciences Division,History,History,Bachelor of Arts,3.454495763,236
2009-10,Clg of Letters & Science,L&S Social Sciences Division,Sociology,Sociology,Bachelor of Arts,3.264410138,217
2009-10,Clg of Letters & Science,L&S Social Sciences Division,Anthropology,Anthropology,Bachelor of Arts,3.419120301,133
2009-10,Clg of Letters & Science,L&S Social Sciences Division,Ethnic Studies,Ethnic Studies,Bachelor of Arts,3.303367347,49
2009-10,Clg of Letters & Science,L&S Social Sciences Division,Ethnic Studies,Chicano Studies,Bachelor of Arts,3.167315789,19
2009-10,Clg of Letters & Science,L&S Social Sciences Division,Ethnic Studies,Asian American Studies,Bachelor of Arts,3.2482,10
2009-10,Clg of Letters & Science,L&S Social Sciences Division,Linguistics,Linguistics,Bachelor of Arts,3.4234,55
2009-10,Clg of Letters & Science,L&S Social Sciences Division,Geography,Geography,Bachelor of Arts,3.3775,30
2009-10,Clg of Letters & Science,L&S Social Sciences Division,African American Studies,African American Studies,Bachelor of Arts,3.019,15
2009-10,Clg of Letters & Science,L&S Social Sciences Division,Gender & Womens Studies,Gender & Womens Studies,Bachelor of Arts,3.539166667,12
2009-10,Clg of Letters & Science,L&S Arts & Humanities Division,English,English,Bachelor of Arts,3.410517442,344
2009-10,Clg of Letters & Science,L&S Arts & Humanities Division,Rhetoric,Rhetoric,Bachelor of Arts,3.468140351,114
2009-10,Clg of Letters & Science,L&S Arts & Humanities Division,Philosophy,Philosophy,Bachelor of Arts,3.266495238,105
